first_name,second_name,goals,assists,player_score,missed_passes,red_cards,yellow_cards,player_price,position,goals_conceded,saves,code,club_id
David,Luiz Moreira Marinho,3,2,164,36,0,3,60,2,0,0,41270,6
Emerson,Palmieri dos Santos,0,0,22,11,0,0,55,2,0,0,109533,6
Christian,Pulisic,0,0,0,0,0,0,75,3,0,0,176413,6
Pedro,Rodríguez Ledesma,8,2,112,19,0,2,70,3,0,0,49579,6
Antonio,Rüdiger,1,2,116,35,0,7,60,2,0,0,102380,6
Davide,Zappacosta,0,0,9,0,0,0,45,2,0,0,105700,6
Christian,Benteke,1,1,33,13,0,1,60,4,0,0,54861,7
Scott,Dann,0,1,23,10,0,1,45,2,0,0,19188,7
Luke,Dreher,0,0,1,0,0,0,45,3,0,0,221275,7
Vicente,Guaita,0,0,81,23,0,2,50,1,9,11,40836,7
Wayne,Hennessey,0,0,67,26,0,0,45,1,11,15,20066,7
Martin,Kelly,0,0,26,21,0,2,40,2,0,0,58786,7
Cheikhou,Kouyaté,0,3,67,30,0,3,50,3,0,0,55037,7
James,McArthur,3,7,121,49,0,7,55,3,0,0,50471,7
Max,Meyer,1,3,60,24,0,3,55,3,0,0,141020,7
Luka,Milivojevic,12,2,166,53,0,10,70,3,0,0,66975,7
Mamadou,Sakho,0,0,88,35,0,2,50,2,0,0,40784,7
Jeffrey,Schlupp,4,3,91,26,0,1,55,3,0,0,86417,7
James,Tomkins,1,1,86,37,0,6,50,2,0,0,49413,7
Andros,Townsend,6,5,135,46,0,1,60,3,0,0,60252,7
Patrick,van Aanholt,3,2,140,46,0,3,55,2,0,0,74230,7
Danny,Ward,0,0,0,0,0,0,45,1,3,19,95463,7
Connor,Wickham,0,1,9,1,0,0,45,4,0,0,59125,7
Wilfried,Zaha,10,11,143,49,1,8,70,3,0,0,82403,7
Bernard,Anício Caldeira Duarte,1,4,88,19,0,5,65,3,0,0,100649,8
Leighton,Baines,0,0,7,6,0,0,50,2,0,0,12745,8
Dominic,Calvert-Lewin,6,5,92,26,0,3,60,4,0,0,177815,8
Seamus,Coleman,2,2,125,30,0,1,55,2,0,0,59949,8
Ben,Davies,0,0,66,26,0,2,55,2,0,0,115556,8
Richarlison,de Andrade,13,3,153,36,1,5,80,3,0,0,212319,8
Fabian,Delph,0,1,29,9,1,1,55,2,0,0,41823,8
Lucas,Digne,4,5,158,38,1,5,60,2,0,0,101188,8
Idrissa,Gueye,0,2,78,31,0,6,50,3,0,0,80801,8
Michael,Keane,1,2,129,39,0,2,55,2,0,0,106611,8
Ademola,Lookman,0,3,34,8,0,0,50,3,0,0,219352,8
Alex,McCarthy,0,0,73,44,0,1,45,1,3,16,58376,8
Yerry,Mina,1,0,36,13,0,3,55,2,0,0,164511,8
Jordan,Pickford,0,0,161,46,0,1,55,1,3,20,111234,8
Morgan,Schneiderlin,0,1,28,9,0,2,45,3,0,0,42774,8
Gylfi,Sigurdsson,13,6,182,41,0,3,80,3,0,0,55422,8
Maarten,Stekelenburg,0,0,0,0,0,0,40,1,5,14,10318,8
André Filipe,Tavares Gomes,1,2,64,28,0,7,55,3,0,0,120250,8
Cenk,Tosun,3,3,56,17,0,3,60,4,0,0,66838,8
Theo,Walcott,5,3,101,33,0,1,65,3,0,0,20467,8
Marc,Albrighton,2,2,63,17,0,3,55,3,0,0,51938,9
Daniel,Amartey,0,0,15,9,0,2,45,3,0,0,155569,9
Ricardo Domingos,Barbosa Pereira,2,8,146,45,0,7,60,2,0,0,111931,9
Harvey,Barnes,1,3,43,16,0,0,60,3,0,0,201666,9
Benjamin,Chilwell,0,5,118,43,0,4,55,2,0,0,172850,9
Hamza,Choudhury,0,0,20,4,0,0,45,3,0,0,197469,9
Jonny,Evans,1,0,77,26,0,2,50,2,0,0,37642,9
Christian,Fuchs,0,0,3,5,0,0,45,2,0,0,37402,9
Rachid,Ghezzal,1,0,28,13,0,3,55,3,0,0,115858,9
Andre,Gray,7,2,83,23,0,2,60,4,0,0,73426,9
Kelechi,Iheanacho,1,5,58,16,0,2,60,4,0,0,173515,9
Eldin,Jakupovic,0,0,0,0,0,0,45,1,2,10,11974,9
Daniel,James,0,0,0,0,0,0,60,3,0,0,200617,9
James,Justin,0,0,0,0,0,0,50,2,0,0,220627,9
James,Maddison,7,7,137,44,1,3,70,3,0,0,172780,9
Harry,Maguire,3,1,92,41,1,6,55,2,0,0,95658,9
Benjamin,Mendy,0,6,59,6,0,1,60,2,0,0,102826,9
Wes,Morgan,3,0,76,28,2,1,45,2,0,0,15033,9
Wilfred,Ndidi,2,0,89,47,0,8,50,3,0,0,203341,9
Ayoze,Pérez,12,2,141,35,0,2,65,3,0,0,168580,9
Kasper,Schmeichel,0,0,120,48,0,3,50,1,14,30,17745,9
Çaglar,Söyüncü,0,0,9,4,0,1,45,2,0,0,218031,9
Youri,Tielemans,3,5,63,14,0,2,65,3,0,0,166989,9
Jamie,Vardy,18,5,174,36,1,3,90,4,0,0,101668,9
Joel,Ward,1,0,13,14,0,1,45,2,0,0,55494,9
Trent,Alexander-Arnold,1,13,185,14,0,3,70,2,0,0,169187,10
Rafael,Camacho,0,0,1,1,0,0,45,3,0,0,217989,10
Roberto,Firmino,12,8,160,15,0,0,95,4,0,0,92217,10
Joseph,Gomez,0,0,55,4,0,2,55,2,0,0,171287,10
Jordan,Henderson,1,3,76,14,1,1,55,3,0,0,56979,10
Naby,Keita,2,1,67,8,0,0,60,3,0,0,175592,10
Adam,Lallana,0,1,23,3,0,1,60,3,0,0,39155,10
Dejan,Lovren,1,1,63,7,0,1,55,2,0,0,38454,10
Sadio,Mané,22,3,231,21,0,2,115,3,0,0,110979,10
Joel,Matip,1,0,83,12,0,3,55,2,0,0,60914,10
Simon,Mignolet,0,0,0,0,0,0,45,1,7,27,66797,10
James,Milner,5,5,101,13,1,5,55,3,0,0,15157,10
Divock,Origi,3,1,32,2,0,0,55,4,0,0,152760,10
Alex,Oxlade-Chamberlain,0,0,2,0,0,0,65,3,0,0,81880,10
Alisson,Ramses Becker,0,0,176,22,0,1,60,1,6,10,116535,10
Andrew,Robertson,0,12,213,20,0,4,70,2,0,0,122798,10
Mohamed,Salah,22,12,259,20,0,1,125,3,0,0,118748,10
Xherdan,Shaqiri,6,5,88,6,0,2,65,3,0,0,68312,10
Fabio Henrique,Tavares,1,2,65,14,0,6,55,3,0,0,116643,10
Virgil,van Dijk,4,4,208,22,0,1,65,2,0,0,97032,10
Georginio,Wijnaldum,3,1,108,16,0,3,55,3,0,0,41733,10
Sergio,Agüero,21,11,201,15,0,4,120,4,0,0,37572,11
Claudio,Bravo,0,0,0,0,0,0,50,1,9,10,33148,11
Danilo Luiz,da Silva,1,0,46,7,0,1,50,2,0,0,100180,11
Kevin,De Bruyne,2,3,59,3,0,2,95,3,0,0,61366,11
Gabriel Fernando,de Jesus,7,3,79,11,0,1,95,4,0,0,205651,11
José Ángel,Esmorís Tasende,0,0,0,0,0,0,50,2,0,0,145235,11
Phil,Foden,1,0,25,0,0,0,55,3,0,0,209244,11
Ilkay,Gündogan,6,3,113,15,0,3,55,3,0,0,59859,11
Rodrigo,Hernandez,0,0,0,0,0,0,55,3,0,0,220566,11
Aymeric,Laporte,3,3,177,21,0,3,65,2,0,0,146941,11
Fernando,Luiz Rosa,1,3,79,15,0,5,55,3,0,0,27789,11
Riyad,Mahrez,7,4,102,9,0,0,85,3,0,0,103025,11
Nampalys,Mendy,0,1,58,29,0,5,45,3,0,0,86881,11
Nicolás,Otamendi,0,0,70,7,0,1,55,2,0,0,57410,11
Leroy,Sané,10,12,156,14,0,1,95,3,0,0,182156,11
Ederson,Santana de Moraes,0,1,169,23,0,2,60,1,5,24,121160,11
David,Silva,6,8,143,14,0,2,75,3,0,0,20664,11
Raheem,Sterling,17,15,234,19,0,3,120,3,0,0,103955,11
John,Stones,0,0,83,15,0,1,55,2,0,0,97299,11
Bernardo Mota,Veiga de Carvalho e Silva,7,8,154,22,0,3,80,3,0,0,165809,11
Kyle,Walker,1,1,150,17,0,3,60,2,0,0,58621,11
Oleksandr,Zinchenko,0,3,44,4,0,1,55,2,0,0,206325,11
Eric,Bailly,0,0,16,13,1,0,50,2,0,0,197365,12
Tahith,Chong,0,0,2,1,0,0,45,3,0,0,222677,12
José Diogo,Dalot Teixeira,0,2,27,18,0,3,50,2,0,0,216051,12
Matteo,Darmian,0,0,14,8,0,0,50,2,0,0,40002,12
David,de Gea,0,0,120,54,0,1,55,1,2,15,51940,12
James,Garner,0,0,1,0,0,0,45,3,0,0,232928,12
Angel,Gomes,0,0,2,1,0,0,50,3,0,0,209041,12
Lee,Grant,0,0,0,0,0,0,50,1,4,25,6744,12
Mason,Greenwood,0,0,4,2,0,0,45,4,0,0,220688,12
Matty,James,0,0,0,0,0,0,45,3,0,0,61604,12
Phil,Jones,0,1,43,17,0,1,50,2,0,0,76359,12
Victor,Lindelöf,1,1,85,40,0,1,55,2,0,0,184667,12
Jesse,Lingard,4,3,78,26,0,3,65,3,0,0,109322,12
